Brew_ID,Name,City,State,Region
58,Destihl Brewery,Bloomington, IL,MIDWEST
59,Summit Brewing Company,St. Paul, MN,MIDWEST
60,Latitude 42 Brewing Company,Portage, MI,MIDWEST
61,4 Hands Brewing Company,Saint Louis, MO,MIDWEST
62,Surly Brewing Company,Brooklyn Center, MN,MIDWEST
63,Against The Grain Brewery,Louisville, KY,SOUTH
64,Crazy Mountain Brewing Company,Edwards, CO,WEST
65,SlapShot Brewing Company,Chicago, IL,MIDWEST
66,Mikerphone Brewing,Chicago, IL,MIDWEST
67,Freetail Brewing Company,San Antonio, TX,SOUTH
68,3 Daughters Brewing,St Petersburg, FL,SOUTH
69,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,NORTHEAST
70,Appalachian Mountain Brewery,Boone, NC,SOUTH
71,Birdsong Brewing Company,Charlotte, NC,SOUTH
72,Union Craft Brewing,Baltimore, MD,NORTHEAST
73,Atwater Brewery,Detroit, MI,MIDWEST
74,Ale Asylum,Madison, WI,MIDWEST
75,Two Brothers Brewing Company,Warrenville, IL,MIDWEST
76,Bent Paddle Brewing Company,Duluth, MN,MIDWEST
77,Bell's Brewery,Kalamazoo, MI,MIDWEST
78,Blue Owl Brewing,Austin, TX,SOUTH
79,Speakasy Ales & Lagers,San Francisco, CA,WEST
80,Black Tooth Brewing Company,Sheridan, WY,WEST
81,Hopworks Urban Brewery,Portland, OR,WEST
82,Epic Brewing,Denver, CO,WEST
83,New Belgium Brewing Company,Fort Collins, CO,WEST
84,Sierra Nevada Brewing Company,Chico, CA,WEST
85,Keweenaw Brewing Company,Houghton, MI,MIDWEST
86,Brewery Terra Firma,Traverse City, MI,MIDWEST
87,Grey Sail Brewing Company,Westerly, RI,NORTHEAST
88,Kirkwood Station Brewing Company,Kirkwood, MO,MIDWEST
89,Goose Island Brewing Company,Chicago, IL,MIDWEST
90,Broad Brook Brewing LLC,East Windsor, CT,NORTHEAST
91,The Lion Brewery,Wilkes-Barre, PA,NORTHEAST
